id,address,zip,lat,lon,neighborhood,sale_date,sqft,bedrooms,bathrooms,floors,year_built,renovated,lot_size,garage,pool,school_rating,crime_rate,proximity_km,price,property_tax,hoa_fee
1,2051 Washington Ln,94117,37.754138,-122.412783,SuburbA,2023-12-31,2777.04,4,2,3,2010,0,5929.36,1,1,7.8,49.4,1.87,750914.56,9956.34,0.0
2,1781 Cedar Ln,94124,37.761925,-122.403552,Downtown,2024-12-10,837.9,3,3,1,1980,0,9567.35,1,0,10.0,26.2,1.7,199850.23,2747.19,150.0
3,9218 Lake Ln,94120,37.797029,-122.394982,SuburbA,2021-08-08,1180.13,4,1,1,1938,0,10506.87,1,0,5.8,64.4,3.72,241312.67,2971.14,0.0
4,8142 River Rd,94100,37.753683,-122.343216,Downtown,2024-06-21,1265.06,5,3,1,1982,0,5229.23,0,0,9.5,51.3,6.98,290280.11,1621.9,0.0
5,141 River St,94092,37.741378,-122.447388,SuburbA,2023-07-02,1384.68,3,1,3,2008,0,4204.98,2,0,8.7,54.6,3.98,303114.89,1797.13,0.0
6,4806 Oak Rd,94085,37.766452,-122.374177,Riverside,2023-11-17,1840.14,3,2,1,2014,1,6216.08,1,0,9.3,22.1,4.04,368248.01,2337.5,0.0
7,8132 Washington Ave,94110,37.810663,-122.431471,Downtown,2022-07-03,1055.82,2,1,2,1976,0,5573.14,1,0,9.0,43.6,4.62,438312.78,4623.19,0.0
8,4220 Washington Blvd,94109,37.772295,-122.43835,Riverside,2021-12-05,2965.01,2,3,1,1914,0,11474.03,1,0,10.0,48.9,1.63,703371.02,5034.66,0.0
9,8514 Oak Dr,94106,37.764358,-122.45181,Riverside,2022-02-14,1029.02,4,1,2,1949,0,10387.18,2,0,4.7,56.8,2.86,161330.9,2281.95,0.0
10,1569 Sunset Ln,94103,37.751022,-122.373421,Uptown,2025-02-20,2186.01,3,2,1,1951,0,6580.27,1,0,5.9,38.9,4.6,311529.46,4565.06,0.0
11,4812 Hill Ave,94121,37.828362,-122.391806,SuburbA,2025-04-17,3664.48,2,3,1,2014,0,12581.39,0,0,6.0,63.0,6.93,564191.15,8347.92,0.0
12,5162 Maple Dr,94108,37.761465,-122.418699,SuburbA,2022-08-21,2595.54,4,3,2,1919,0,11439.75,1,0,1.4,55.6,0.95,284410.64,3539.33,0.0
13,6056 Hill Rd,94090,37.775314,-122.413881,SuburbB,2025-12-09,778.47,3,2,1,1925,0,7665.05,1,0,6.7,57.1,0.8,129211.03,875.43,0.0
14,6633 River Ln,94116,37.785728,-122.400908,Downtown,2023-02-23,1467.42,3,3,2,1970,1,4268.9,2,0,8.1,32.3,2.42,258477.61,2245.66,0.0
15,2007 Lake Ln,94123,37.7588,-122.436239,SuburbA,2024-02-27,1668.7,2,1,1,1959,0,6143.78,1,0,9.2,70.8,1.89,317040.12,1934.36,0.0
16,8145 Lake Ln,94101,37.779524,-122.3562,Riverside,2022-08-20,2485.56,4,1,2,1968,1,6697.47,1,0,8.9,51.0,5.7,723874.07,9958.04,0.0
17,6980 River Rd,94117,37.77346,-122.454894,Downtown,2021-08-24,3333.23,4,1,1,1901,0,316.85,1,0,8.1,17.6,3.09,481378.06,6641.42,150.0
18,8586 Maple Ln,94099,37.800468,-122.430178,OldTown,2022-06-18,1703.54,3,2,1,1952,1,11564.15,0,0,6.3,44.7,3.5,522382.39,2660.03,0.0
19,2213 Maple Dr,94118,37.771149,-122.406471,Downtown,2023-07-03,1998.28,2,2,2,1922,1,6518.52,2,1,10.0,41.1,1.19,348379.42,4673.46,150.0
20,1780 River Rd,94115,37.771287,-122.369697,OldTown,2023-09-29,558.86,2,1,1,2008,1,3284.11,2,0,4.9,49.7,4.42,161532.99,1559.36,0.0
21,2433 Hill Ave,94092,37.754972,-122.424238,SuburbA,2021-11-01,1419.89,3,2,1,1990,0,4759.81,1,0,7.7,53.8,1.71,198589.44,1811.64,0.0
22,7584 Hill Dr,94119,37.783251,-122.437197,SuburbB,2024-11-13,300,3,2,2,1980,0,5688.62,1,1,6.1,32.5,2.11,50398.81,358.94,0.0
23,4212 Sunset Rd,94104,37.803883,-122.397127,Riverside,2022-02-27,3100.46,2,2,1,2008,0,15047.25,1,0,8.8,52.0,4.26,803364.34,6466.43,0.0
24,9080 Sunset Dr,94115,37.741488,-122.443178,SuburbB,2023-05-06,1495.97,3,4,1,1973,0,6101.19,1,0,7.6,69.4,3.76,135172.93,1019.15,0.0
25,6685 Lake Ave,94103,37.771589,-122.411397,SuburbB,2026-01-22,1637.17,4,3,2,1909,1,405.37,2,1,7.5,52.7,0.78,217009.4,2306.41,0.0
26,4507 Maple St,94094,37.739397,-122.453317,SuburbA,2026-04-20,2246.03,5,2,3,1935,0,3893.38,0,1,6.9,70.2,4.48,445598.87,6381.34,0.0
27,9885 Hill Ln,94116,37.779828,-122.39956,SuburbB,2024-04-10,2325.73,2,3,2,1999,0,9023.05,0,0,4.5,62.7,2.1,1016423.26,5993.04,0.0
28,5997 Cedar Blvd,94116,37.751943,-122.408592,Uptown,2024-09-05,1738.13,3,1,2,1927,0,14657.88,1,1,7.7,28.9,2.24,264867.67,3136.08,0.0
29,7745 Sunset Rd,94112,37.772196,-122.425415,SuburbA,2022-12-24,1109.89,3,3,3,2000,1,6350.57,1,0,9.9,54.0,0.53,177838.92,1022.92,0.0
30,9239 Maple Blvd,94105,37.799589,-122.414217,Uptown,2023-11-07,836.14,3,3,2,1964,1,11291.99,2,0,8.7,33.9,3.32,221157.54,3032.53,0.0
31,7598 Oak Rd,94117,37.776284,-122.394161,Uptown,2026-01-17,2066.57,3,3,2,1952,1,9000.88,1,1,9.4,47.8,2.37,210238.21,2294.58,0.0
32,4340 Hill Ave,94112,37.799451,-122.358257,OldTown,2021-10-10,1032.79,2,1,3,1982,1,671.02,1,1,6.4,91.2,6.33,242007.54,1613.02,0.0
33,7950 Oak Dr,94102,37.759116,-122.452978,Downtown,2022-09-17,2607.54,3,3,1,1993,0,7859.16,1,0,7.1,36.6,3.14,1049592.82,6319.62,0.0
34,8266 Washington St,94097,37.733445,-122.398779,Riverside,2022-01-22,1982.86,3,2,2,1962,1,5206.75,1,0,9.8,58.9,4.46,721571.78,10346.53,0.0
35,6838 Pine Rd,94085,37.742684,-122.47618,OldTown,2023-03-03,475.38,3,1,1,1964,0,9079.99,1,0,6.0,88.5,5.79,55610.79,349.63,0.0
36,1610 Maple Rd,94122,37.821422,-122.414926,SuburbA,2024-06-17,1536.76,4,3,1,1925,0,6262.73,1,0,7.6,37.2,5.73,225676.13,2272.75,0.0
37,9055 Oak Ln,94097,37.763806,-122.395808,Uptown,2023-10-15,1537.19,2,1,1,1977,1,1154.82,2,0,6.7,54.6,2.23,405751.47,3181.84,0.0
38,4160 Oak Ln,94087,37.786285,-122.39286,SuburbB,2022-09-02,2774.18,4,2,1,2017,0,5948.82,1,1,9.4,58.7,2.99,541759.4,6538.46,0.0
39,9053 Elm Dr,94125,37.75433,-122.349537,Downtown,2022-04-14,1883.34,4,3,2,1927,0,9841.25,1,0,9.3,24.6,6.42,373299.15,3564.17,300.0
40,5953 Pine St,94105,37.790039,-122.411797,Riverside,2021-09-30,2753.99,3,2,2,1983,0,10992.41,2,0,8.4,43.7,2.34,628358.5,9424.02,0.0
41,9652 River Rd,94093,37.747474,-122.435347,Uptown,2023-06-23,1906.52,3,1,2,1945,0,3819.97,1,0,8.3,46.1,2.84,358138.78,4827.72,0.0
42,9042 Cedar Rd,94122,37.7425,-122.403772,Downtown,2025-12-07,1091.48,3,3,1,1991,1,6372.24,1,0,10.0,39.2,3.37,545602.89,5279.77,0.0
43,2249 River Dr,94117,37.770097,-122.428866,OldTown,2023-06-12,2044.54,3,3,3,2019,0,8537.89,0,0,5.7,62.7,0.78,436316.53,5951.58,0.0
44,4862 Oak Rd,94095,37.780126,-122.410911,SuburbA,2021-05-11,1792.56,2,3,2,1987,0,6334.39,1,0,3.9,45.7,1.38,383702.71,4506.66,0.0
45,2317 River Blvd,94117,37.784878,-122.425785,Downtown,2022-04-13,3352.83,5,3,2,1976,0,3917.49,0,0,10.0,31.2,1.73,774644.52,5662.57,0.0
46,6850 Lake Ave,94118,37.756265,-122.441463,SuburbA,2022-02-18,1848.26,3,2,1,2013,0,7229.27,2,0,3.4,43.5,2.42,647431.92,9254.76,0.0
47,3322 Lake St,94091,37.798548,-122.451189,SuburbB,2023-11-26,1946.84,4,1,3,1968,1,14633.28,1,0,5.1,59.6,4.19,351892.29,4661.98,0.0
48,6479 Oak St,94107,37.80032,-122.42716,SuburbA,2023-10-19,1426.66,4,3,2,1926,1,302.15,1,0,9.8,54.4,3.42,208032.14,2672.83,0.0
49,5890 Maple St,94117,37.765079,-122.37372,OldTown,2024-02-28,935.74,4,2,3,2021,0,1567.63,2,0,6.0,56.6,4.1,182217.33,1384.4,0.0
50,7899 Washington Dr,94104,37.79003,-122.380012,Downtown,2022-09-10,1637.62,3,1,1,1972,0,9085.55,2,0,10.0,50.1,4.15,511800.89,2843.83,0.0
51,7475 Washington St,94116,37.789629,-122.418388,Riverside,2023-02-03,2222.25,4,1,1,1907,0,9104.26,2,0,8.3,22.4,2.18,233506.94,3435.42,0.0
52,7744 River Ln,94095,37.780104,-122.416439,Riverside,2024-06-21,765.93,3,1,2,1941,0,6427.55,1,0,6.8,22.7,1.16,165333.55,1072.32,0.0
53,2621 River Ln,94098,37.764349,-122.448203,Downtown,2022-06-06,300,2,1,1,1970,0,6230.38,1,0,10.0,44.9,2.55,158885.92,2033.78,0.0
54,7204 River Blvd,94114,37.790106,-122.449847,OldTown,2024-07-04,3007.53,2,1,1,1973,0,12125.06,1,0,2.8,71.0,3.44,495060.08,5607.67,0.0
55,9901 Cedar Dr,94089,37.788715,-122.408861,SuburbB,2024-06-27,556.62,2,1,1,2011,0,16724.09,0,0,4.9,57.5,2.3,116678.46,765.74,0.0
56,9067 Lake St,94097,37.801148,-122.382008,OldTown,2022-05-28,3179.95,1,2,3,2010,0,11439.49,0,0,6.8,69.6,4.8,678789.2,4993.7,0.0
57,2940 Maple Dr,94119,37.774904,-122.378154,SuburbB,2022-09-29,2763.06,1,2,2,1943,0,565.27,1,0,5.6,67.5,3.71,237501.03,3452.07,0.0
58,889 Hill Dr,94097,37.77752,-122.426741,SuburbB,2025-08-18,1636.52,4,2,3,1910,1,11917.68,1,0,6.2,50.2,1.02,220838.66,3271.45,0.0
59,8027 Maple Ave,94118,37.727422,-122.412722,SuburbA,2025-07-17,1634.82,3,1,2,1996,1,6538.44,1,0,5.2,44.1,4.77,413227.89,5800.65,0.0
60,3683 Sunset Ave,94095,37.768977,-122.432264,Riverside,2025-09-23,1713.62,2,2,3,2014,1,6816.35,1,1,7.6,49.8,1.08,505728.52,6662.22,0.0
61,3147 Lake Blvd,94112,37.810195,-122.417178,SuburbA,2024-02-05,1556.0,5,3,1,1970,1,9346.19,2,0,9.1,47.3,4.47,666287.34,5852.86,0.0
62,8832 Lake St,94109,37.769333,-122.414563,SuburbA,2023-08-31,709.78,3,1,3,2015,0,269.72,1,0,10.0,36.1,0.48,156619.29,2333.3,0.0
63,5095 Pine Blvd,94096,37.789704,-122.410686,SuburbB,2023-04-24,2142.13,4,1,3,1998,0,8589.8,1,0,7.3,43.8,2.33,494999.12,6844.62,0.0
64,4416 Hill Rd,94111,37.796003,-122.43466,Riverside,2025-12-11,880.5,3,3,3,1942,1,3131.05,1,0,7.6,29.6,3.16,239021.56,3190.36,0.0
65,4813 Hill Ave,94105,37.800244,-122.399531,OldTown,2022-04-17,2490.09,2,1,2,1908,0,10500.33,0,0,4.3,68.2,3.81,243009.58,2113.68,0.0
66,8608 Hill Rd,94092,37.767942,-122.393761,Downtown,2025-08-07,1203.44,4,3,1,1906,0,11439.9,1,0,9.8,40.1,2.31,178696.46,1565.78,0.0
67,8738 Sunset Blvd,94091,37.776672,-122.402693,SuburbA,2022-03-24,2811.6,3,3,2,1965,1,12321.84,2,0,7.5,33.7,1.69,761768.77,5363.91,0.0
