base_id,Math,Science,English,Computer,Social,Total Marks,Average,Percentage,Result (Pass / Fail),Grade
1032,NAN,99,81,86,94,454,90.8,90.8,Pass,A+
1011,94,NAN,64,98,100,448,89.6,89.60000000000001,Pass,A
1064,93,92,82,83,96,446,89.2,89.2,Pass,A
1028,89,96,82,98,74,439,87.8,87.8,Pass,A
1086,83,74,91,91,83,422,84.4,84.39999999999999,Pass,A
1023,83,95,99,83,62,422,84.4,84.39999999999999,Pass,A
1007,82,96,91,92,60,421,84.2,84.2,Pass,A
1045,84,98,92,60,86,420,84.0,84.0,Pass,A
1043,72,91,98,91,63,415,83.0,83.0,Pass,A
1094,87,79,89,70,87,412,82.4,82.39999999999999,Pass,A
1012,88,95,72,91,66,412,82.4,82.39999999999999,Pass,A
1079,81,61,83,89,97,411,82.2,82.19999999999999,Pass,A
1034,67,86,68,96,92,409,81.8,81.8,Pass,A
1003,98,88,74,67,80,407,81.4,81.39999999999999,Pass,A
1060,100,88,74,60,84,406,81.2,81.2,Pass,A
1049,63,88,77,85,93,406,81.2,81.2,Pass,A
1091,84,86,87,75,74,406,81.2,81.2,Pass,A
1032,75,77,83,85,84,404,80.8,80.80000000000001,Pass,A
1032,67,73,82,99,80,401,80.2,80.2,Pass,A
1034,69,95,73,90,74,401,80.2,80.2,Pass,A
1015,98,78,82,70,70,398,79.6,79.60000000000001,Pass,A
1001,72,100,62,98,65,397,79.4,79.4,Pass,A
1025,91,63,70,76,97,397,79.4,79.4,Pass,A
1090,98,77,63,84,73,395,79.0,79.0,Pass,A
1080,100,71,98,61,62,392,78.4,78.4,Pass,A
1042,83,70,76,67,94,390,78.0,78.0,Pass,A
1042,86,68,74,74,85,387,77.4,77.4,Pass,A
1073,83,64,93,65,81,386,77.2,77.2,Pass,A
1001,61,80,92,71,81,385,77.0,77.0,Pass,A
1039,60,94,96,73,62,385,77.0,77.0,Pass,A
1011,95,99,63,61,65,383,76.6,76.6,Pass,A
1089,96,76,61,61,87,381,76.2,76.2,Pass,A
1011,81,87,61,65,87,381,76.2,76.2,Pass,A
1092,78,61,85,91,65,380,76.0,76.0,Pass,A
1083,68,85,61,79,87,380,76.0,76.0,Pass,A
1073,60,64,85,73,98,380,76.0,76.0,Pass,A
1023,66,67,94,73,76,376,75.2,75.2,Pass,A
1031,62,96,66,80,68,372,74.4,74.4,Pass,A
1066,87,66,68,67,71,359,71.8,71.8,Pass,A
1050,66,68,83,60,67,344,68.8,68.8,Pass,A
1088,59,57,59,57,55,287,57.4,57.4,Pass,C
1015,55,59,53,53,59,279,55.8,55.800000000000004,Pass,C
1027,59,58,48,49,56,270,54.0,54.0,Pass,C
1058,59,47,57,58,46,267,53.4,53.400000000000006,Pass,C
